City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
7,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
15,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
16,Butaritari,KI,82.58,broken clouds,3.0707,172.7902,Isles Sunset Lodge
26,Umm Lajj,SA,83.86,overcast clouds,25.0213,37.2685,Moon light Furnished Units
36,Sao Raimundo Das Mangabeiras,BR,81.66,few clouds,-7.0219,-45.4811,Hotel Tropical
39,Korla,CN,75.51,overcast clouds,41.7597,86.1469,Gulisitan Hotel
49,Sinjhoro,PK,84.27,clear sky,26.0303,68.809,adil Mobile shop
58,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
62,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
68,Puerto Ayacucho,VE,77.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
69,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
77,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
83,Labuhan,ID,76.14,overcast clouds,-6.8844,112.2051,DoubleFAG
88,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
91,Rafraf,TN,77.31,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
93,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
99,Meulaboh,ID,76.21,broken clouds,4.1363,96.1285,Kost Pria
107,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
108,Muri,IN,79.21,scattered clouds,23.3667,85.8667,Sanyasi Lodge
110,Huangchuan,CN,84.85,broken clouds,32.1272,115.0394,Guangzhou International Hotel
113,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
119,Nurota,UZ,75.74,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
120,Dingle,PH,78.55,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
127,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
129,Carman,CA,81.52,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
130,Ise,JP,79.92,overcast clouds,34.4833,136.7,Ise Fresh
131,Sibolga,ID,76.91,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
133,Hobyo,SO,78.19,broken clouds,5.3505,48.5268,Iftin hotel hobyo
134,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
137,Thompson,CA,80.76,clear sky,55.7435,-97.8558,Burntwood Hotel
140,Hengyang,CN,81.95,overcast clouds,26.8881,112.615,Honglin Guesthouse
144,Kavaratti,IN,81.36,overcast clouds,10.5669,72.642,Green leaf
